run_id,policy,hit_rate,miss_rate,avg_similarity,duration_s,C_A,capacity,threshold,q,beta,delta,tau,k_duel,max_active_duels
DuelCache_823c9bbf,DuelCache,0.3885,0.6115,0.6205809310428798,3.7629618644714355,0.8672125827380558,20,0.65,,0.75,0.02,100.0,8.0,8.0
DuelCache_06673168,DuelCache,0.38375,0.61625,0.7111808518692851,6.007735967636108,0.8114815285563469,1000,0.75,,0.75,0.02,100.0,8.0,8.0
DuelCache_eab463fa,DuelCache,0.38365,0.61635,0.7120467121645808,5.979632139205933,0.8103160396456719,1000,0.75,,0.6,0.02,100.0,8.0,8.0
DuelCache_6dd5604b,DuelCache,0.38245,0.61755,0.616911188326031,3.680398941040039,0.8657713362268012,20,0.65,,0.6,0.05,100.0,8.0,8.0
DuelCache_1aaea22b,DuelCache,0.3797,0.6203,0.6180521047458053,3.763235092163086,0.8657381604892834,20,0.65,,0.75,0.05,100.0,8.0,8.0
DuelCache_838fc661,DuelCache,0.3768,0.6232,0.7085672266453504,5.981101989746094,0.8142298664927483,1000,0.75,,0.75,0.05,100.0,8.0,8.0
DuelCache_9c7d53cf,DuelCache,0.3743,0.6257,0.708625637820363,5.9102747440338135,0.8191749077320098,1000,0.75,,0.6,0.05,100.0,8.0,8.0
DuelCache_54a398f8,DuelCache,0.34675,0.65325,0.6028056488845497,3.622905969619751,0.8833937379581561,20,0.65,,0.6,0.02,200.0,8.0,8.0
DuelCache_073a8169,DuelCache,0.3371,0.6629,0.5998824442028999,3.6821889877319336,0.8853511551771837,20,0.65,,0.75,0.02,200.0,8.0,8.0
DuelCache_70ae3e53,DuelCache,0.33085,0.66915,0.6953490354061127,7.2845377922058105,0.8381263193726539,1000,0.75,,0.6,0.02,200.0,8.0,8.0
DuelCache_99ca33b7,DuelCache,0.32815,0.67185,0.6946812864154577,5.916357040405273,0.8367737642884254,1000,0.75,,0.75,0.02,200.0,8.0,8.0
DuelCache_2ab17543,DuelCache,0.3251,0.6749,0.5968868118390441,3.6309962272644043,0.8915886524319645,20,0.65,,0.6,0.05,200.0,8.0,8.0
DuelCache_a5ebd5eb,DuelCache,0.32065,0.67935,0.6929147077232599,5.86461329460144,0.8400156958341598,1000,0.75,,0.6,0.05,200.0,8.0,8.0
DuelCache_27714f99,DuelCache,0.32035,0.67965,0.6919802095398306,5.81257700920105,0.8409983967900276,1000,0.75,,0.75,0.05,200.0,8.0,8.0
DuelCache_97b4afd5,DuelCache,0.3175,0.6825,0.5928409327920526,3.508877754211426,0.8892140314136204,20,0.65,,0.75,0.05,200.0,8.0,8.0
DuelCache_c13bfa4a,DuelCache,0.30875,0.69125,0.6726501864083111,3.982813835144043,0.8782333133459092,200,0.75,,0.6,0.05,100.0,8.0,8.0
DuelCache_ed946255,DuelCache,0.30675,0.69325,0.6707496597565711,3.9870378971099854,0.8850953870773316,200,0.75,,0.6,0.02,100.0,8.0,8.0
DuelCache_777061fa,DuelCache,0.2988,0.7012,0.6676958835840225,4.019816160202026,0.8824019435882569,200,0.75,,0.75,0.02,100.0,8.0,8.0
DuelCache_d74031c5,DuelCache,0.29495,0.70505,0.6649505468368531,4.020008325576782,0.8842927762269974,200,0.75,,0.75,0.05,100.0,8.0,8.0
DuelCache_54ca8230,DuelCache,0.26275,0.73725,0.619952395092696,3.518528938293457,0.9034803739190101,20,0.75,,0.6,0.05,100.0,8.0,8.0
DuelCache_5363b196,DuelCache,0.2604,0.7396,0.7366851086631417,8.236831903457642,0.7930739432692523,2000,0.85,,0.6,0.02,100.0,8.0,8.0
DuelCache_cab01cfc,DuelCache,0.25875,0.74125,0.7357938871860504,8.33265995979309,0.7938548411568,2000,0.85,,0.75,0.02,100.0,8.0,8.0
