event,key,sim,timestamp,cache_occupancy
miss,row_12735,,1756054057.6624289,0
miss,row_18051,,1756054057.6624389,0
add,row_12325,,1756054057.662455,1
miss,row_12325,,1756054057.662456,1
hit,row_12325,1.0,1756054057.6625862,1
hit,row_12325,1.0,1756054057.6627,1
hit,row_12325,1.0,1756054057.6628008,1
miss,row_8721,0.5595591068267822,1756054057.662902,1
miss,row_8720,0.5595591068267822,1756054057.662994,1
add,row_6089,,1756054057.66309,2
miss,row_6089,0.08113258332014084,1756054057.663091,2
add,row_19244,,1756054057.6631942,3
miss,row_19244,0.4993668496608734,1756054057.663195,3
miss,row_19461,0.4721902012825012,1756054057.663305,3
add,row_19710,,1756054057.6633952,4
miss,row_19710,0.3880651593208313,1756054057.6633961,4
miss,row_19743,0.49272051453590393,1756054057.6634839,4
miss,row_19823,0.5063459277153015,1756054057.663577,4
miss,row_19462,0.4721902012825012,1756054057.663666,4
miss,row_19824,0.3572418689727783,1756054057.663753,4
miss,row_19683,0.4328301250934601,1756054057.663848,4
miss,row_19684,0.4313221573829651,1756054057.663935,4
miss,row_19825,0.3572418689727783,1756054057.6640341,4
miss,row_19463,0.4721902012825012,1756054057.664126,4
miss,row_19826,0.5223605036735535,1756054057.6642501,4
miss,row_19680,0.3293132781982422,1756054057.664352,4
hit,row_19244,0.6876131296157837,1756054057.6644428,4
miss,row_19245,0.5621146559715271,1756054057.664568,4
miss,row_19827,0.5223605036735535,1756054057.6646929,4
miss,row_19464,0.4721902012825012,1756054057.664788,4
miss,row_19465,0.4721902012825012,1756054057.664885,4
add,row_19828,,1756054057.665,5
miss,row_19828,0.5223605036735535,1756054057.665001,5
miss,row_19274,0.4661111831665039,1756054057.665096,5
miss,row_19246,0.6428078413009644,1756054057.665211,5
miss,row_19488,0.30523186922073364,1756054057.665308,5
miss,row_19466,0.4826071858406067,1756054057.665408,5
miss,row_19489,0.518986701965332,1756054057.665527,5
hit,row_19828,1.0,1756054057.665629,5
miss,row_19226,0.41154754161834717,1756054057.6657221,5
miss,row_19467,0.4826071858406067,1756054057.665823,5
miss,row_19676,0.5628733038902283,1756054057.665926,5
hit,row_19828,1.0,1756054057.6660302,5
miss,row_19247,0.6111037731170654,1756054057.6661289,5
miss,row_19490,0.518986701965332,1756054057.6662169,5
miss,row_19485,0.4703804850578308,1756054057.666316,5
miss,row_19699,0.5770621299743652,1756054057.6664152,5
miss,row_19227,0.41154754161834717,1756054057.666519,5
miss,row_19491,0.518986701965332,1756054057.666613,5
add,row_19735,,1756054057.666712,6
miss,row_19735,0.5237523317337036,1756054057.666713,6
hit,row_19828,1.0,1756054057.666813,6
miss,row_19700,0.5770621299743652,1756054057.6669178,6
hit,row_19828,1.0,1756054057.667021,6
miss,row_19718,0.40593451261520386,1756054057.667114,6
miss,row_19468,0.5789269804954529,1756054057.667211,6
miss,row_19228,0.41154754161834717,1756054057.667306,6
add,row_19961,,1756054057.6674151,7
miss,row_19961,0.38577914237976074,1756054057.667416,7
miss,row_19719,0.3869185149669647,1756054057.6675122,7
hit,row_19828,1.0,1756054057.6676211,7
miss,row_19248,0.5948171019554138,1756054057.667723,7
miss,row_19701,0.5799142122268677,1756054057.667829,7
hit,row_19735,0.9685797095298767,1756054057.6679301,7
miss,row_19229,0.41154754161834717,1756054057.668034,7
hit,row_19828,1.0,1756054057.668135,7
miss,row_19469,0.5789269804954529,1756054057.668231,7
add,row_19249,,1756054057.668341,8
miss,row_19249,0.5994599461555481,1756054057.668341,8
hit,row_19828,1.0,1756054057.668449,8
hit,row_19828,0.6513898372650146,1756054057.668552,8
miss,row_19702,0.5770621299743652,1756054057.66865,8
add,row_19703,,1756054057.6687639,9
miss,row_19703,0.5770621299743652,1756054057.6687648,9
miss,row_19230,0.41154754161834717,1756054057.668868,9
miss,row_19981,0.5757919549942017,1756054057.668959,9
miss,row_19733,0.4515770673751831,1756054057.669054,9
hit,row_19828,0.7969620227813721,1756054057.669172,9
add,row_19231,,1756054057.6692789,10
miss,row_19231,0.40905657410621643,1756054057.66928,10
miss,row_19250,0.48629969358444214,1756054057.669389,10
miss,row_19492,0.5724968910217285,1756054057.6694798,10
miss,row_19716,0.4899415671825409,1756054057.6695879,10
hit,row_19828,0.8116515278816223,1756054057.669683,10
hit,row_19703,0.9817090034484863,1756054057.669777,10
add,row_19493,,1756054057.669893,11
miss,row_19493,0.5714166164398193,1756054057.669894,11
hit,row_19231,0.9506881237030029,1756054057.669986,11
hit,row_19828,0.864200234413147,1756054057.670076,11
miss,row_19470,0.5789269804954529,1756054057.67019,11
hit,row_19493,1.0,1756054057.67029,11
hit,row_19828,0.9110659956932068,1756054057.670395,11
miss,row_19251,0.6444854736328125,1756054057.670499,11
hit,row_19703,0.9712181687355042,1756054057.6705961,11
hit,row_19493,0.9315518140792847,1756054057.67071,11
hit,row_19735,0.8878843784332275,1756054057.670805,11
miss,row_19129,0.4320836365222931,1756054057.670898,11
miss,row_19720,0.5084015727043152,1756054057.671015,11
miss,row_19471,0.5789269804954529,1756054057.671117,11
hit,row_19828,0.8555027842521667,1756054057.671211,11
hit,row_19703,0.8439382314682007,1756054057.67132,11
miss,row_19798,0.5019826889038086,1756054057.671434,11
hit,row_19231,0.9034631252288818,1756054057.671542,11
hit,row_19735,0.8581677675247192,1756054057.671639,11
miss,row_19252,0.6444854736328125,1756054057.6717372,11
add,row_19721,,1756054057.671839,12
miss,row_19721,0.48271143436431885,1756054057.671839,12
miss,row_19108,0.45489221811294556,1756054057.671932,12
hit,row_19703,0.8439382314682007,1756054057.672041,12
hit,row_19828,0.8555027842521667,1756054057.672139,12
miss,row_19648,0.5453773140907288,1756054057.672234,12
add,row_19186,,1756054057.672348,13
miss,row_19186,0.5416643619537354,1756054057.672349,13
miss,row_19799,0.5057238936424255,1756054057.672449,13
add,row_19313,,1756054057.6725628,14
miss,row_19313,0.48109573125839233,1756054057.672564,14
miss,row_19367,0.35563066601753235,1756054057.6726642,14
miss,row_19744,0.6340571045875549,1756054057.6727738,14
