event,key,sim,timestamp,cache_occupancy
miss,row_12735,,1756054082.136729,0
miss,row_18051,,1756054082.1367419,0
miss,row_12325,,1756054082.136749,0
miss,row_12324,,1756054082.1367528,0
miss,row_12326,,1756054082.136757,0
miss,row_12327,,1756054082.1367612,0
miss,row_8721,,1756054082.136765,0
miss,row_8720,,1756054082.136769,0
miss,row_6089,,1756054082.136773,0
miss,row_19244,,1756054082.136777,0
add,row_19461,,1756054082.1367922,1
miss,row_19461,,1756054082.1367931,1
miss,row_19710,0.36473363637924194,1756054082.136943,1
miss,row_19743,0.5412648916244507,1756054082.137055,1
miss,row_19823,0.44515496492385864,1756054082.1371598,1
hit,row_19461,1.0000001192092896,1756054082.137252,1
add,row_19824,,1756054082.1373389,2
miss,row_19824,0.40697699785232544,1756054082.137341,2
miss,row_19683,0.3609684705734253,1756054082.13743,2
miss,row_19684,0.36506539583206177,1756054082.137523,2
hit,row_19824,1.0000001192092896,1756054082.137608,2
hit,row_19461,1.0000001192092896,1756054082.137702,2
hit,row_19824,0.794429361820221,1756054082.137781,2
miss,row_19680,0.2931801974773407,1756054082.137872,2
miss,row_19008,0.48554307222366333,1756054082.137961,2
miss,row_19245,0.4537337124347687,1756054082.138056,2
hit,row_19824,0.794429361820221,1756054082.138147,2
hit,row_19461,1.0000001192092896,1756054082.138245,2
hit,row_19461,1.0000001192092896,1756054082.13834,2
hit,row_19824,0.794429361820221,1756054082.138428,2
miss,row_19274,0.4004249572753906,1756054082.138518,2
miss,row_19246,0.47181960940361023,1756054082.138603,2
miss,row_19488,0.30578404664993286,1756054082.1386921,2
hit,row_19461,1.0000001192092896,1756054082.1387992,2
miss,row_19489,0.560295581817627,1756054082.138888,2
hit,row_19824,0.794429361820221,1756054082.138983,2
miss,row_19226,0.3335866928100586,1756054082.1390688,2
hit,row_19461,1.0000001192092896,1756054082.139149,2
miss,row_19676,0.43329504132270813,1756054082.1392372,2
hit,row_19824,0.794429361820221,1756054082.139322,2
add,row_19247,,1756054082.139416,3
miss,row_19247,0.42825964093208313,1756054082.1394172,3
miss,row_19490,0.560295581817627,1756054082.1395059,3
miss,row_19485,0.3925058841705322,1756054082.1395872,3
miss,row_19699,0.46478885412216187,1756054082.139681,3
miss,row_19227,0.3335866928100586,1756054082.1397738,3
miss,row_19491,0.560295581817627,1756054082.139859,3
miss,row_19735,0.5789269804954529,1756054082.139936,3
hit,row_19824,0.794429361820221,1756054082.140036,3
miss,row_19700,0.46478885412216187,1756054082.1401432,3
hit,row_19824,0.794429361820221,1756054082.140247,3
miss,row_19718,0.5137856006622314,1756054082.140352,3
hit,row_19461,1.0000001192092896,1756054082.140451,3
miss,row_19228,0.3335866928100586,1756054082.140557,3
miss,row_19961,0.3120269775390625,1756054082.140665,3
add,row_19719,,1756054082.140786,4
miss,row_19719,0.4865274131298065,1756054082.140787,4
hit,row_19824,0.794429361820221,1756054082.140887,4
miss,row_19248,0.6043511033058167,1756054082.1409779,4
miss,row_19701,0.46336689591407776,1756054082.1410758,4
miss,row_19736,0.6082735657691956,1756054082.141164,4
add,row_19229,,1756054082.141276,5
miss,row_19229,0.4704052209854126,1756054082.1412768,5
hit,row_19824,0.794429361820221,1756054082.1413682,5
hit,row_19461,1.0000001192092896,1756054082.141461,5
miss,row_19249,0.6568571925163269,1756054082.14155,5
add,row_19835,,1756054082.14166,6
hit,row_19824,0.794429361820221,1756054082.141661,6
miss,row_19980,0.6513898372650146,1756054082.141752,6
add,row_19702,,1756054082.141876,7
miss,row_19702,0.5770621299743652,1756054082.141876,7
hit,row_19702,1.0000001192092896,1756054082.141978,7
hit,row_19229,1.0000001192092896,1756054082.142087,7
miss,row_19981,0.5757919549942017,1756054082.1421802,7
miss,row_19733,0.34154170751571655,1756054082.1422698,7
hit,row_19835,0.7969620227813721,1756054082.142359,7
hit,row_19229,0.9889887571334839,1756054082.142455,7
miss,row_19250,0.48601144552230835,1756054082.14255,7
miss,row_19492,0.5736899375915527,1756054082.142655,7
miss,row_19716,0.4243810772895813,1756054082.1427672,7
hit,row_19835,0.8116515278816223,1756054082.142855,7
hit,row_19702,0.9817090034484863,1756054082.1429608,7
miss,row_19493,0.5679441094398499,1756054082.143051,7
hit,row_19229,0.9514291882514954,1756054082.143147,7
hit,row_19835,0.864200234413147,1756054082.143255,7
hit,row_19461,1.0000001192092896,1756054082.143357,7
miss,row_19494,0.5679441094398499,1756054082.143465,7
hit,row_19835,0.9110659956932068,1756054082.143562,7
miss,row_19251,0.6696452498435974,1756054082.143669,7
hit,row_19702,0.9712181687355042,1756054082.143751,7
miss,row_19495,0.5582925081253052,1756054082.1438348,7
miss,row_19737,0.5612000226974487,1756054082.143925,7
miss,row_19129,0.4152950048446655,1756054082.144017,7
hit,row_19719,0.9279369115829468,1756054082.14412,7
hit,row_19461,1.0000001192092896,1756054082.144224,7
add,row_19840,,1756054082.144329,8
hit,row_19835,0.8555027842521667,1756054082.14433,8
hit,row_19702,0.8439382314682007,1756054082.14445,8
miss,row_19798,0.5143678188323975,1756054082.144545,8
hit,row_19229,0.9032808542251587,1756054082.144634,8
miss,row_19738,0.5321462750434875,1756054082.144734,8
miss,row_19252,0.6696452498435974,1756054082.144846,8
hit,row_19719,0.866173505783081,1756054082.144929,8
miss,row_19108,0.45489221811294556,1756054082.145036,8
hit,row_19702,0.8439382314682007,1756054082.1451242,8
hit,row_19840,1.0,1756054082.1452181,8
miss,row_19648,0.4879106283187866,1756054082.1453178,8
miss,row_19186,0.5267833471298218,1756054082.145418,8
miss,row_19799,0.5143678188323975,1756054082.145505,8
miss,row_19313,0.3284870386123657,1756054082.1455958,8
miss,row_19367,0.3235468566417694,1756054082.145681,8
miss,row_19744,0.6340571045875549,1756054082.1457741,8
